fuel-type,num-of-doors,body-style,drive-wheels,engine-size,horsepower,city-mpg,price
gas,two,convertible,rwd,130,111.0,21,13495.0
gas,two,convertible,rwd,130,111.0,21,16500.0
gas,two,hatchback,rwd,152,154.0,19,16500.0
gas,four,sedan,fwd,109,102.0,24,13950.0
gas,four,sedan,4wd,136,115.0,18,17450.0
gas,two,sedan,fwd,136,110.0,19,15250.0
gas,four,sedan,fwd,136,110.0,19,17710.0
gas,four,wagon,fwd,136,110.0,19,18920.0
gas,four,sedan,fwd,131,140.0,17,23875.0
gas,two,sedan,rwd,108,101.0,23,16430.0
gas,four,sedan,rwd,108,101.0,23,16925.0
gas,two,sedan,rwd,164,121.0,21,20970.0
gas,four,sedan,rwd,164,121.0,21,21105.0
gas,four,sedan,rwd,164,121.0,20,24565.0
gas,four,sedan,rwd,209,182.0,16,30760.0
gas,two,sedan,rwd,209,182.0,16,41315.0
gas,four,sedan,rwd,209,182.0,15,36880.0
gas,two,hatchback,fwd,61,48.0,47,5151.0
gas,two,hatchback,fwd,90,70.0,38,6295.0
gas,four,sedan,fwd,90,70.0,38,6575.0
gas,two,hatchback,fwd,90,68.0,37,5572.0
gas,two,hatchback,fwd,90,68.0,31,6377.0
gas,two,hatchback,fwd,98,102.0,24,7957.0
gas,four,hatchback,fwd,90,68.0,31,6229.0
gas,four,sedan,fwd,90,68.0,31,6692.0
gas,four,sedan,fwd,90,68.0,31,7609.0
gas,?,sedan,fwd,98,102.0,24,8558.0
gas,four,wagon,fwd,122,88.0,24,8921.0
gas,two,hatchback,fwd,156,145.0,19,12964.0
gas,two,hatchback,fwd,92,58.0,49,6479.0
gas,two,hatchback,fwd,92,76.0,31,6855.0
gas,two,hatchback,fwd,79,60.0,38,5399.0
gas,two,hatchback,fwd,92,76.0,30,6529.0
gas,two,hatchback,fwd,92,76.0,30,7129.0
gas,four,sedan,fwd,92,76.0,30,7295.0
gas,four,wagon,fwd,92,76.0,30,7295.0
gas,two,hatchback,fwd,110,86.0,27,7895.0
gas,two,hatchback,fwd,110,86.0,27,9095.0
gas,four,sedan,fwd,110,86.0,27,8845.0
gas,four,sedan,fwd,110,86.0,27,10295.0
gas,four,sedan,fwd,110,101.0,24,12945.0
gas,two,sedan,fwd,110,100.0,25,10345.0
gas,four,sedan,rwd,111,78.0,24,6785.0
gas,two,hatchback,rwd,119,90.0,24,11048.0
gas,four,sedan,rwd,258,176.0,15,32250.0
gas,four,sedan,rwd,258,176.0,15,35550.0
gas,two,sedan,rwd,326,262.0,13,36000.0
gas,two,hatchback,fwd,91,68.0,30,5195.0
gas,two,hatchback,fwd,91,68.0,31,6095.0
gas,two,hatchback,fwd,91,68.0,31,6795.0
gas,four,sedan,fwd,91,68.0,31,6695.0
gas,four,sedan,fwd,91,68.0,31,7395.0
gas,two,hatchback,rwd,70,101.0,17,10945.0
gas,two,hatchback,rwd,70,101.0,17,11845.0
gas,two,hatchback,rwd,70,101.0,17,13645.0
gas,two,hatchback,rwd,80,135.0,16,15645.0
gas,two,hatchback,fwd,122,84.0,26,8845.0
gas,four,sedan,fwd,122,84.0,26,8495.0
gas,two,hatchback,fwd,122,84.0,26,10595.0
gas,four,sedan,fwd,122,84.0,26,10245.0
diesel,?,sedan,fwd,122,64.0,36,10795.0
gas,four,hatchback,fwd,122,84.0,26,11245.0
gas,four,sedan,rwd,140,120.0,19,18280.0
diesel,four,sedan,rwd,134,72.0,31,18344.0
diesel,four,sedan,rwd,183,123.0,22,25552.0
diesel,four,wagon,rwd,183,123.0,22,28248.0
diesel,two,hardtop,rwd,183,123.0,22,28176.0
diesel,four,sedan,rwd,183,123.0,22,31600.0
gas,four,sedan,rwd,234,155.0,16,34184.0
gas,two,convertible,rwd,234,155.0,16,35056.0
gas,four,sedan,rwd,308,184.0,14,40960.0
gas,two,hardtop,rwd,304,184.0,14,45400.0
gas,two,hatchback,rwd,140,175.0,19,16503.0
gas,two,hatchback,fwd,92,68.0,37,5389.0
gas,two,hatchback,fwd,92,68.0,31,6189.0
gas,two,hatchback,fwd,92,68.0,31,6669.0
